anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
424,205,37,1677,2022-04-20,1011
428,302,36,1536,2022-04-21,770
242,164,26,1282,2022-04-22,850
295,180,21,1358,2022-04-23,862
296,129,47,1189,2022-04-24,717
362,297,80,1780,2022-04-25,1041
253,179,94,1312,2022-04-26,786
348,312,78,1793,2022-04-27,1055
377,259,189,1931,2022-04-28,1106
547,358,104,2053,2022-04-29,1044
407,202,128,1604,2022-04-30,867
356,209,167,1653,2022-05-01,921
419,370,115,1933,2022-05-02,1029
260,123,62,1097,2022-05-03,652
196,157,138,1124,2022-05-04,633
323,176,100,1446,2022-05-05,847
377,217,67,1689,2022-05-06,1028
467,333,46,1855,2022-05-07,1009
389,157,35,1376,2022-05-08,795
403,168,39,1449,2022-05-09,839
402,269,26,1437,2022-05-10,740
450,561,29,2458,2022-05-11,1418
624,245,53,2166,2022-05-12,1244
513,259,43,2011,2022-05-13,1196
595,474,68,2677,2022-05-14,1540
544,308,20,1814,2022-05-15,942
534,243,36,1887,2022-05-16,1074
840,386,47,2868,2022-05-17,1595
376,219,19,1367,2022-05-18,753
511,233,32,1878,2022-05-19,1102
350,274,32,1620,2022-05-20,964
615,190,54,1986,2022-05-21,1127
506,254,33,1887,2022-05-22,1094
686,433,36,2516,2022-05-23,1361
417,179,22,1365,2022-05-24,747
621,325,41,2150,2022-05-25,1163
479,215,21,1555,2022-05-26,840
470,219,29,1746,2022-05-27,1028
393,168,28,1490,2022-05-28,901
420,399,61,2055,2022-05-29,1175
562,365,45,2389,2022-05-30,1417
567,529,27,2380,2022-05-31,1257
405,312,36,1733,2022-06-01,980
538,405,61,2332,2022-06-02,1328
422,309,66,1678,2022-06-03,881
415,274,26,1636,2022-06-04,921
379,237,31,1584,2022-06-05,937
609,446,61,2523,2022-06-06,1407
492,417,52,2357,2022-06-07,1396
428,619,25,2282,2022-06-08,1210
367,446,50,2029,2022-06-09,1166
427,412,37,2107,2022-06-10,1231
317,317,14,1620,2022-06-11,972
630,562,132,3083,2022-06-12,1759
356,330,35,1781,2022-06-13,1060
473,494,53,2380,2022-06-14,1360
747,593,55,3394,2022-06-15,1999
709,573,29,2857,2022-06-16,1546
530,426,54,2248,2022-06-17,1238
